Name,Link,Artifact Number
"
",https://www.historymuseum.ca/collections/artifact/2209706/?q=Ottawa&page_num=1&item_num=145&media_irn=5338810,2209706
"
",https://www.historymuseum.ca/collections/artifact/197204/?q=Ottawa&page_num=1&item_num=146&media_irn=127510,197204
"
",https://www.historymuseum.ca/collections/artifact/171472/?q=Ottawa&page_num=1&item_num=147&media_irn=278605,171472
"
",https://www.historymuseum.ca/collections/artifact/1316388/?q=Ottawa&page_num=1&item_num=148&media_irn=3003058,1316388
"
",https://www.historymuseum.ca/collections/artifact/305429/?q=Ottawa&page_num=1&item_num=149&media_irn=5597479,305429
"
",https://www.historymuseum.ca/collections/artifact/2090720/?q=Ottawa&page_num=1&item_num=150&media_irn=5174985,2090720
"
",https://www.historymuseum.ca/collections/artifact/1916130/?q=Ottawa&page_num=1&item_num=151&media_irn=5181036,1916130
"
",https://www.historymuseum.ca/collections/artifact/1376927/?q=Ottawa&page_num=1&item_num=152&media_irn=5220716,1376927
"
",https://www.historymuseum.ca/collections/artifact/1376887/?q=Ottawa&page_num=1&item_num=153&media_irn=5220666,1376887
"
",https://www.historymuseum.ca/collections/artifact/1376883/?q=Ottawa&page_num=1&item_num=154&media_irn=5220658,1376883
"
",https://www.historymuseum.ca/collections/artifact/1376881/?q=Ottawa&page_num=1&item_num=155&media_irn=5220654,1376881
"
",https://www.historymuseum.ca/collections/artifact/1376868/?q=Ottawa&page_num=1&item_num=156&media_irn=5220634,1376868
"
",https://www.historymuseum.ca/collections/artifact/1376839/?q=Ottawa&page_num=1&item_num=157&media_irn=5220616,1376839
"
",https://www.historymuseum.ca/collections/artifact/1315556/?q=Ottawa&page_num=1&item_num=158&media_irn=3004286,1315556
"
",https://www.historymuseum.ca/collections/artifact/84103/?q=Ottawa&page_num=1&item_num=159&media_irn=140113,84103
"
",https://www.historymuseum.ca/collections/artifact/84102/?q=Ottawa&page_num=1&item_num=160&media_irn=140116,84102
"
",https://www.historymuseum.ca/collections/artifact/84101/?q=Ottawa&page_num=1&item_num=161&media_irn=140119,84101
"
",https://www.historymuseum.ca/collections/artifact/84099/?q=Ottawa&page_num=1&item_num=162&media_irn=183343,84099
"
",https://www.historymuseum.ca/collections/artifact/84098/?q=Ottawa&page_num=1&item_num=163&media_irn=140125,84098
"
",https://www.historymuseum.ca/collections/artifact/84096/?q=Ottawa&page_num=1&item_num=164&media_irn=140131,84096
"
",https://www.historymuseum.ca/collections/artifact/84095/?q=Ottawa&page_num=1&item_num=165&media_irn=140134,84095
"
",https://www.historymuseum.ca/collections/artifact/84093/?q=Ottawa&page_num=1&item_num=166&media_irn=183346,84093
"
",https://www.historymuseum.ca/collections/artifact/84092/?q=Ottawa&page_num=1&item_num=167&media_irn=183349,84092
"
",https://www.historymuseum.ca/collections/artifact/84087/?q=Ottawa&page_num=1&item_num=168&media_irn=140146,84087
"
",https://www.historymuseum.ca/collections/artifact/84086/?q=Ottawa&page_num=1&item_num=169&media_irn=140149,84086
"
",https://www.historymuseum.ca/collections/artifact/76738/?q=Ottawa&page_num=1&item_num=170&media_irn=192541,76738
"
",https://www.historymuseum.ca/collections/artifact/2942763/?q=Ottawa&page_num=1&item_num=171&media_irn=5630202,2942763
"
",https://www.historymuseum.ca/collections/artifact/2942762/?q=Ottawa&page_num=1&item_num=172&media_irn=5630200,2942762
"
",https://www.historymuseum.ca/collections/artifact/2465739/?q=Ottawa&page_num=1&item_num=173&media_irn=5489337,2465739
"
",https://www.historymuseum.ca/collections/artifact/2465738/?q=Ottawa&page_num=1&item_num=174&media_irn=5489335,2465738
"
",https://www.historymuseum.ca/collections/artifact/2465736/?q=Ottawa&page_num=1&item_num=175&media_irn=5489283,2465736
"
",https://www.historymuseum.ca/collections/artifact/2465687/?q=Ottawa&page_num=1&item_num=176&media_irn=5489341,2465687
"
",https://www.historymuseum.ca/collections/artifact/2465546/?q=Ottawa&page_num=1&item_num=177&media_irn=5489333,2465546
"
",https://www.historymuseum.ca/collections/artifact/2385301/?q=Ottawa&page_num=1&item_num=178&media_irn=5462602,2385301
"
",https://www.historymuseum.ca/collections/artifact/2365544/?q=Ottawa&page_num=1&item_num=179&media_irn=5458738,2365544
"
",https://www.historymuseum.ca/collections/artifact/2365387/?q=Ottawa&page_num=1&item_num=180&media_irn=5482972,2365387
"
",https://www.historymuseum.ca/collections/artifact/2365366/?q=Ottawa&page_num=1&item_num=181&media_irn=5425197,2365366
"
",https://www.historymuseum.ca/collections/artifact/2150301/?q=Ottawa&page_num=1&item_num=182&media_irn=5258741,2150301
"
",https://www.historymuseum.ca/collections/artifact/199596/?q=Ottawa&page_num=1&item_num=183&media_irn=253906,199596
